movie_id,title,year,academy_award,won,run_time,budget,box_office,budget_currency,box_office_currency,starring
wings-1927,Wings,1927,1,yes,111,2,NA,USD,USD,
the-racket-1927,The Racket,1927,1,no,84,NA,NA,USD,USD,"Thomas Meighan, Marie Prevost, Louis Wolheim"
7th-heaven-1927,7th Heaven,1927,1,no,NA,NA,NA,USD,USD,
the-broadway-melody-1928,The Broadway Melody,1928,2,yes,100,0.379,4.4,USD,USD,
alibi-1928,Alibi,1928,2,no,90,NA,NA,USD,USD,"Chester Morris, Mae Busch"
hollywood-revue-1928,Hollywood Revue,1928,2,no,116,0.426,NA,USD,USD,
in-old-arizona-1928,In Old Arizona,1928,2,no,95,NA,1.3,USD,USD,
the-patriot-1928,The Patriot,1928,2,no,NA,NA,NA,USD,USD,
all-quiet-on-the-western-front-1929,All Quiet on the Western Front,1929,3,yes,152,1.2,1.5,USD,USD,
the-big-house-1929,The Big House,1929,3,no,87,0.414,NA,USD,USD,
disraeli-1929,Disraeli,1929,3,no,90,NA,NA,USD,USD,
the-divorcee-1929,The Divorcee,1929,3,no,84,NA,NA,USD,USD,
the-love-parade-1929,The Love Parade,1929,3,no,107,NA,NA,USD,USD,
cimarron-1930,Cimarron,1930,4,yes,124,1.433,1.383,USD,USD,
east-lynne-1930,East Lynne,1930,4,no,102,NA,NA,USD,USD,
the-front-page-1930,The Front Page,1930,4,no,101,NA,0.7,USD,USD,
skippy-1930,Skippy,1930,4,no,85,NA,NA,USD,USD,
trader-horn-1930,Trader Horn,1930,4,no,122,1.3,4.2,USD,USD,
grand-hotel-1931,Grand Hotel,1931,5,yes,112,0.75,2.25,USD,USD,
arrowsmith-1931,Arrowsmith,1931,5,no,108,NA,1.25,USD,USD,
bad-girl-1931,Bad Girl,1931,5,no,90,NA,1.1,USD,USD,
the-champ-1931,The Champ,1931,5,no,87,0.356,1.6,USD,USD,
five-star-final-1931,Five Star Final,1931,5,no,89,NA,NA,USD,USD,
one-hour-with-you-1931,One Hour with You,1931,5,no,80,NA,NA,USD,USD,
shanghai-express-1931,Shanghai Express,1931,5,no,80,NA,3.7,USD,USD,
the-smiling-lieutenant-1931,The Smiling Lieutenant,1931,5,no,89,NA,NA,USD,USD,
cavalcade-1932,Cavalcade,1932,6,yes,112,1.1803,3.5,USD,USD,
42nd-street-1932,42nd Street,1932,6,no,89,0.439,2.25,USD,USD,
a-farewell-to-arms-1932,A Farewell to Arms,1932,6,no,85,0.9,NA,USD,USD,"Helen Hayes, Gary Cooper, Adolphe Menjou"
i-am-a-fugitive-from-a-chain-gang-1932,I Am a Fugitive from a Chain Gang,1932,6,no,93,NA,NA,USD,USD,
lady-for-a-day-1932,Lady for a Day,1932,6,no,96,0.3,NA,USD,USD,
little-women-1932,Little Women,1932,6,no,117,0.424,2.07,USD,USD,
the-private-life-of-henry-viii-1932,The Private Life of Henry VIII,1932,6,no,97,0.065,0.75,GBP,GBP,
she-done-him-wrong-1932,She Done Him Wrong,1932,6,no,NA,NA,NA,USD,USD,
smilin-through-1932,Smilin' Through,1932,6,no,98,0.851,2.033,USD,USD,
state-fair-1932,State Fair,1932,6,no,97,0.6,1.8,USD,USD,
it-happened-one-night-1934,It Happened One Night,1934,7,yes,105,0.325,NA,USD,USD,
the-barretts-of-wimpole-street-1934,The Barretts of Wimpole Street,1934,7,no,110,0.82,NA,USD,USD,
cleopatra-1934,Cleopatra,1934,7,no,100,NA,NA,USD,USD,
flirtation-walk-1934,Flirtation Walk,1934,7,no,97,NA,NA,USD,USD,
the-gay-divorcee-1934,The Gay Divorcee,1934,7,no,107,0.52,1.8,USD,USD,
here-comes-the-navy-1934,Here Comes the Navy,1934,7,no,87,NA,NA,USD,USD,
the-house-of-rothschild-1934,The House of Rothschild,1934,7,no,88,NA,NA,USD,USD,
imitation-of-life-1934,Imitation of Life,1934,7,no,111,NA,NA,USD,USD,"Claudette Colbert, Warren William, Louise Beavers"
one-night-of-love-1934,One Night of Love,1934,7,no,83,NA,0.7332,USD,USD,
the-thin-man-1934,The Thin Man,1934,7,no,93,0.2264,NA,USD,USD,"William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton, Minna Gombell"
viva-villa-1934,Viva Villa!,1934,7,no,115,1.022,1.875,USD,USD,
the-white-parade-1934,The White Parade,1934,7,no,80,NA,NA,USD,USD,
mutiny-on-the-bounty-1935,Mutiny on the Bounty,1935,8,yes,NA,NA,NA,USD,USD,
alice-adams-1935,Alice Adams,1935,8,no,99,0.342,0.77,USD,USD,
broadway-melody-of-1936-1935,Broadway Melody of 1936,1935,8,no,101,1.062,2.871,USD,USD,
captain-blood-1935,Captain Blood,1935,8,no,119,1.242,2.5,USD,USD,"Errol Flynn, Olivia de Havilland, Basil Rathbone, Ross Alexander"
david-copperfield-1935,David Copperfield,1935,8,no,NA,NA,NA,USD,USD,
the-informer-1935,The Informer,1935,8,no,91,0.243,0.95,USD,USD,
the-lives-of-a-bengal-lancer-1935,The Lives of a Bengal Lancer,1935,8,no,109,NA,49,USD,USD,
a-midsummer-nights-dream-1935,A Midsummer Night's Dream,1935,8,no,133,0.981,1.229,USD,USD,"Olivia de Havilland (Hermia), Jean Muir (Helena), Dick Powell (Lysander), Ross Alexander (Demetrius), James Cagney (Bottom), Mickey Rooney (Puck), Joe E. Brown (Flute), Victor Jory (Oberon), Anita Louise (Titania), Ian Hunter (Theseus)"
les-misrables-1935,Les Misérables,1935,8,no,108,NA,NA,USD,USD,
naughty-marietta-1935,Naughty Marietta,1935,8,no,105,0.782,2.057,USD,USD,
ruggles-of-red-gap-1935,Ruggles of Red Gap,1935,8,no,90,NA,NA,USD,USD,"Charles Laughton, Mary Boland, Charlie Ruggles, ZaSu Pitts"
top-hat-1935,Top Hat,1935,8,no,101,0.609,3.2,USD,USD,
the-great-ziegfeld-1936,The Great Ziegfeld,1936,9,yes,177,2.183,4.673,USD,USD,
anthony-adverse-1936,Anthony Adverse,1936,9,no,141,NA,NA,USD,USD,
dodsworth-1936,Dodsworth,1936,9,no,101,NA,1.6,USD,USD,
libeled-lady-1936,Libeled Lady,1936,9,no,98,0.603,2.723,USD,USD,
mr-deeds-goes-to-town-1936,Mr. Deeds Goes to Town,1936,9,no,115,0.8457,1,USD,USD,"Gary Cooper, Jean Arthur, George Bancroft"
romeo-and-juliet-1936,Romeo and Juliet,1936,9,no,125,2,NA,USD,USD,"Norma Shearer, Leslie Howard, John Barrymore, Basil Rathbone, Andy Devine"
san-francisco-1936,San Francisco,1936,9,no,115,1.3,NA,USD,USD,
the-story-of-louis-pasteur-1936,The Story of Louis Pasteur,1936,9,no,87,NA,NA,USD,USD,
a-tale-of-two-cities-1936,A Tale of Two Cities,1936,9,no,123,1.232,2.3,USD,USD,
three-smart-girls-1936,Three Smart Girls,1936,9,no,84,NA,NA,USD,USD,"Barbara Read, Nan Grey, Deanna Durbin, Ray Milland"
the-life-of-emile-zola-1937,The Life of Emile Zola,1937,10,yes,116,NA,NA,USD,USD,
the-awful-truth-1937,The Awful Truth,1937,10,no,90,NA,3,USD,USD,
captains-courageous-1937,Captains Courageous,1937,10,no,115,1.645,3.133,USD,USD,
dead-end-1937,Dead End,1937,10,no,93,NA,NA,USD,USD,
the-good-earth-1937,The Good Earth,1937,10,no,138,2.816,3.557,USD,USD,
in-old-chicago-1937,In Old Chicago,1937,10,no,96,NA,2.5,USD,USD,
lost-horizon-1937,Lost Horizon,1937,10,no,133,2,NA,USD,USD,
one-hundred-men-and-a-girl-1937,One Hundred Men and a Girl,1937,10,no,85,NA,NA,USD,USD,
stage-door-1937,Stage Door,1937,10,no,NA,NA,NA,USD,USD,
a-star-is-born-1937,A Star Is Born,1937,10,no,111,1.2,2,USD,USD,"Janet Gaynor, Fredric March"
you-cant-take-it-with-you-1938,You Can't Take It with You,1938,11,yes,126,NA,NA,USD,USD,"Jean Arthur, Lionel Barrymore, James Stewart, Edward Arnold"
the-adventures-of-robin-hood-1938,The Adventures of Robin Hood,1938,11,no,NA,NA,NA,USD,USD,
alexanders-ragtime-band-1938,Alexander's Ragtime Band,1938,11,no,106,NA,3.6,USD,USD,
boys-town-1938,Boys Town,1938,11,no,96,0.772,4.058,USD,USD,
the-citadel-1938,The Citadel,1938,11,no,NA,NA,NA,USD,USD,
four-daughters-1938,Four Daughters,1938,11,no,90,NA,NA,USD,USD,
grand-illusion-1938,Grand Illusion,1938,11,no,114,NA,NA,USD,USD,"Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim"
jezebel-1938,Jezebel,1938,11,no,103,1.25,NA,USD,USD,"Bette Davis, Henry Fonda, George Brent, Margaret Lindsay, Donald Crisp, Fay Bainter, Richard Cromwell, Henry O'Neill, Spring Byington, John Litel"
pygmalion-1938,Pygmalion,1938,11,no,NA,NA,NA,USD,USD,
test-pilot-1938,Test Pilot,1938,11,no,118,1.701,3.903,USD,USD,
gone-with-the-wind-1939,Gone with the Wind,1939,12,yes,NA,3.85,390,USD,USD,"Clark Gable, Vivien Leigh, Leslie Howard, Olivia de Havilland"
dark-victory-1939,Dark Victory,1939,12,no,104,1,NA,USD,USD,
goodbye-mr-chips-1939,"Goodbye, Mr. Chips",1939,12,no,114,1.051,3.252,USD,USD,"Robert Donat, Greer Garson, Terry Kilburn"
love-affair-1939,Love Affair,1939,12,no,87,0.86,1.8,USD,USD,
mr-smith-goes-to-washington-1939,Mr. Smith Goes to Washington,1939,12,no,130,1.5,9,USD,USD,
ninotchka-1939,Ninotchka,1939,12,no,110,NA,2.3,USD,USD,
of-mice-and-men-1939,Of Mice and Men,1939,12,no,107,NA,NA,USD,USD,
stagecoach-1939,Stagecoach,1939,12,no,NA,NA,NA,USD,USD,
the-wizard-of-oz-1939,The Wizard of Oz,1939,12,no,101,2.8,3,USD,USD,"Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley, Billie Burke, Margaret Hamilton, Charley Grapewin"
wuthering-heights-1939,Wuthering Heights,1939,12,no,103,NA,NA,USD,USD,
rebecca-1940,Rebecca,1940,13,yes,130,1.288,6,USD,USD,
all-this-and-heaven-too-1940,"All This, and Heaven Too",1940,13,no,141,NA,NA,USD,USD,
foreign-correspondent-1940,Foreign Correspondent,1940,13,no,120,1.4842,1.5984,USD,USD,"Joel McCrea, Laraine Day, Herbert Marshall, George Sanders, Albert Basserman, Robert Benchley"
the-grapes-of-wrath-1940,The Grapes of Wrath,1940,13,no,129,0.8,2.5,USD,USD,"Henry Fonda, Jane Darwell, John Carradine, Shirley Mills, John Qualen, Eddie Quillan"
the-great-dictator-1940,The Great Dictator,1940,13,no,124,2,5,USD,USD,
kitty-foyle-1940,Kitty Foyle,1940,13,no,108,0.738,2.385,USD,USD,
the-letter-1940,The Letter,1940,13,no,95,NA,NA,USD,USD,
the-long-voyage-home-1940,The Long Voyage Home,1940,13,no,105,0.6825,0.5801,USD,USD,"John Wayne, Thomas Mitchell, Ian Hunter"
our-town-1940,Our Town,1940,13,no,NA,NA,NA,USD,USD,
the-philadelphia-story-1940,The Philadelphia Story,1940,13,no,112,0.914,3.3,USD,USD,
how-green-was-my-valley-1941,How Green Was My Valley,1941,14,yes,118,0.8,2.8,USD,USD,
blossoms-in-the-dust-1941,Blossoms in the Dust,1941,14,no,99,1.112,2.658,USD,USD,
citizen-kane-1941,Citizen Kane,1941,14,no,119,0.8397,1.6,USD,USD,"Orson Welles, Joseph Cotten, Dorothy Comingore, Everett Sloane, Ray Collins, George Coulouris, Agnes Moorehead, Paul Stewart, Ruth Warrick, Erskine Sanford, William Alland"
here-comes-mr-jordan-1941,Here Comes Mr. Jordan,1941,14,no,94,NA,NA,USD,USD,"Robert Montgomery, Evelyn Keyes, Claude Rains, Rita Johnson, Edward Everett Horton"
hold-back-the-dawn-1941,Hold Back the Dawn,1941,14,no,116,NA,NA,USD,USD,
the-little-foxes-1941,The Little Foxes,1941,14,no,115,NA,NA,USD,USD,
the-maltese-falcon-1941,The Maltese Falcon,1941,14,no,101,0.381,NA,USD,USD,"Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre, Barton MacLane, Lee Patrick, Sydney Greenstreet"
one-foot-in-heaven-1941,One Foot in Heaven,1941,14,no,108,NA,NA,USD,USD,
sergeant-york-1941,Sergeant York,1941,14,no,134,1.4,16.3619,USD,USD,
suspicion-1941,Suspicion,1941,14,no,NA,NA,NA,USD,USD,
mrs-miniver-1942,Mrs. Miniver,1942,15,yes,133,1.34,8.878,USD,USD,
the-invaders-1942,The Invaders,1942,15,no,123,NA,5,GBP,GBP,
kings-row-1942,Kings Row,1942,15,no,127,1.0817,5.093,USD,USD,
the-magnificent-ambersons-1942,The Magnificent Ambersons,1942,15,no,88,1.1,1,USD,USD,"Joseph Cotten, Dolores Costello, Anne Baxter, Tim Holt, Agnes Moorehead, Ray Collins, Erskine Sanford, Richard Bennett"
the-pied-piper-1942,The Pied Piper,1942,15,no,NA,NA,NA,USD,USD,
the-pride-of-the-yankees-1942,The Pride of the Yankees,1942,15,no,128,NA,NA,USD,USD,
random-harvest-1942,Random Harvest,1942,15,no,125,1.21,NA,USD,USD,
the-talk-of-the-town-1942,The Talk of the Town,1942,15,no,118,1,1.1,USD,USD,
wake-island-1942,Wake Island,1942,15,no,88,0.826,3.5,USD,USD,
yankee-doodle-dandy-1942,Yankee Doodle Dandy,1942,15,no,126,NA,11.8,USD,USD,
casablanca-1943,Casablanca,1943,16,yes,102,0.878,3.7,USD,USD,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre[1]"
for-whom-the-bell-tolls-1943,For Whom the Bell Tolls,1943,16,no,170,NA,7.1,USD,USD,"Gary Cooper, Ingrid Bergman, Akim Tamiroff, Joseph Calleia"
heaven-can-wait-1943,Heaven Can Wait,1943,16,no,112,1.1154,2.5,USD,USD,
the-human-comedy-1943,The Human Comedy,1943,16,no,118,1,3.9,USD,USD,
in-which-we-serve-1943,In Which We Serve,1943,16,no,115,0.24,2,GBP,GBP,
madame-curie-1943,Madame Curie,1943,16,no,124,1.938,4.61,USD,USD,
the-more-the-merrier-1943,The More the Merrier,1943,16,no,104,0.878,1.8,USD,USD,
the-oxbow-incident-1943,The Ox-Bow Incident,1943,16,no,75,0.565,NA,USD,USD,
the-song-of-bernadette-1943,The Song of Bernadette,1943,16,no,155,1.6,5,USD,USD,
watch-on-the-rhine-1943,Watch on the Rhine,1943,16,no,114,NA,2.5,USD,USD,
going-my-way-1944,Going My Way,1944,17,yes,126,NA,7.8,USD,USD,"Bing Crosby, Barry Fitzgerald, Risë Stevens"
double-indemnity-1944,Double Indemnity,1944,17,no,107,0.98,5,USD,USD,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall, Jean Heather, Byron Barr, Richard Gaines, John Philliber"
gaslight-1944,Gaslight,1944,17,no,114,2.068,4.613,USD,USD,
since-you-went-away-1944,Since You Went Away,1944,17,no,172,3.257,7,USD,USD,
wilson-1944,Wilson,1944,17,no,154,2.995,NA,USD,USD,
the-lost-weekend-1945,The Lost Weekend,1945,18,yes,99,1.25,4.3,USD,USD,
anchors-aweigh-1945,Anchors Aweigh,1945,18,no,143,2.58,7.475,USD,USD,
the-bells-of-st-marys-1945,The Bells of St. Mary's,1945,18,no,126,1.3,NA,USD,USD,"Bing Crosby, Ingrid Bergman"
mildred-pierce-1945,Mildred Pierce,1945,18,no,111,1.453,5.638,USD,USD,
spellbound-1945,Spellbound,1945,18,no,111,1.5,NA,USD,USD,
the-best-years-of-our-lives-1946,The Best Years of Our Lives,1946,19,yes,172,2.1,23.7,USD,USD,"Myrna Loy, Fredric March, Dana Andrews, Teresa Wright, Virginia Mayo, Harold Russell"
henry-v-1946,Henry V,1946,19,no,136,2,2,GBP,USD,
its-a-wonderful-life-1946,It's a Wonderful Life,1946,19,no,130,3.18,3.3,USD,USD,
the-razors-edge-1946,The Razor's Edge,1946,19,no,145,1.2,5,USD,USD,
the-yearling-1946,The Yearling,1946,19,no,128,3.883,7.599,USD,USD,
gentlemans-agreement-1947,Gentleman's Agreement,1947,20,yes,118,1.985,7.8,USD,USD,
the-bishops-wife-1947,The Bishop's Wife,1947,20,no,109,NA,3,USD,USD,
crossfire-1947,Crossfire,1947,20,no,86,0.678,2.5,USD,USD,
great-expectations-1947,Great Expectations,1947,20,no,118,NA,2,USD,USD,
miracle-on-34th-street-1947,Miracle on 34th Street,1947,20,no,96,0.63,2.7,USD,USD,
hamlet-1948,Hamlet,1948,21,yes,NA,0.5275,NA,GBP,USD,
johnny-belinda-1948,Johnny Belinda,1948,21,no,102,NA,4.1,USD,USD,
the-red-shoes-1948,The Red Shoes,1948,21,no,133,0.5056,5,GBP,USD,
the-snake-pit-1948,The Snake Pit,1948,21,no,108,3.8,4.1,USD,USD,
the-treasure-of-the-sierra-madre-1948,The Treasure of the Sierra Madre,1948,21,no,NA,NA,NA,USD,USD,
all-the-kings-men-1949,All the King's Men,1949,22,yes,109,NA,2.4,USD,USD,
battleground-1949,Battleground,1949,22,no,118,1.631,6.269,USD,USD,
the-heiress-1949,The Heiress,1949,22,no,115,2.6,2.3,USD,USD,"Olivia de Havilland, Montgomery Clift, Ralph Richardson"
a-letter-to-three-wives-1949,A Letter to Three Wives,1949,22,no,103,NA,2.75,USD,USD,
twelve-oclock-high-1949,Twelve O'Clock High,1949,22,no,132,NA,NA,USD,USD,
all-about-eve-1950,All About Eve,1950,23,yes,138,1.4,8.4,USD,USD,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm"
born-yesterday-1950,Born Yesterday,1950,23,no,103,NA,4.15,USD,USD,
father-of-the-bride-1950,Father of the Bride,1950,23,no,92,1.215,6.084,USD,USD,
king-solomons-mines-1950,King Solomon's Mines,1950,23,no,103,2.3,15.1,USD,USD,"Deborah Kerr, Stewart Granger, Richard Carlson"
sunset-boulevard-1950,Sunset Boulevard,1950,23,no,110,1.75,5,USD,USD,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark, Lloyd Gough"
an-american-in-paris-1951,An American in Paris,1951,24,yes,113,2.7,7,USD,USD,
decision-before-dawn-1951,Decision Before Dawn,1951,24,no,119,NA,1.55,USD,USD,
a-place-in-the-sun-1951,A Place in the Sun,1951,24,no,122,2.2953,7,USD,USD,
quo-vadis-1951,Quo Vadis,1951,24,no,171,7.6,21,USD,USD,
a-streetcar-named-desire-1951,A Streetcar Named Desire,1951,24,no,125,1.8,8,USD,USD,"Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden"
the-greatest-show-on-earth-1952,The Greatest Show on Earth,1952,25,yes,152,4,36,USD,USD,"Betty Hutton, Cornel Wilde, Charlton Heston, James Stewart, Dorothy Lamour, Gloria Grahame, Lyle Bettger"
high-noon-1952,High Noon,1952,25,no,85,0.73,12,USD,USD,"Gary Cooper, Thomas Mitchell, Lloyd Bridges, Katy Jurado, Grace Kelly, Otto Kruger, Lon Chaney Jr., Harry Morgan, Eve McVeagh"
ivanhoe-1952,Ivanhoe,1952,25,no,106,3.842,10.878,USD,USD,
moulin-rouge-1952,Moulin Rouge,1952,25,no,119,1.5,5,GBP,USD,
the-quiet-man-1952,The Quiet Man,1952,25,no,129,1.75,3.2,USD,USD,
from-here-to-eternity-1953,From Here to Eternity,1953,26,yes,118,2.5,30.5,USD,USD,"Burt Lancaster, Montgomery Clift, Deborah Kerr, Frank Sinatra, Donna Reed"
julius-caesar-1953,Julius Caesar,1953,26,no,121,2.07,3.92,USD,USD,
the-robe-1953,The Robe,1953,26,no,135,4.1,36,USD,USD,"Richard Burton, Jean Simmons, Victor Mature, Michael Rennie"
roman-holiday-1953,Roman Holiday,1953,26,no,118,1.5,12,USD,USD,"Gregory Peck, Audrey Hepburn"
shane-1953,Shane,1953,26,no,118,3.1,20,USD,USD,
on-the-waterfront-1954,On the Waterfront,1954,27,yes,108,0.91,9.6,USD,USD,"Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger, Pat Henning, Eva Marie Saint"
the-caine-mutiny-1954,The Caine Mutiny,1954,27,no,124,2,21.8,USD,USD,"Humphrey Bogart, José Ferrer, Van Johnson, Fred MacMurray, Robert Francis"
the-country-girl-1954,The Country Girl,1954,27,no,104,NA,6.5,USD,USD,"Bing Crosby, Grace Kelly, William Holden"
seven-brides-for-seven-brothers-1954,Seven Brides for Seven Brothers,1954,27,no,102,2.54,9.403,USD,USD,"Howard KeelJane PowellJeff RichardsMatt MattoxMarc PlattJacques d'AmboiseTommy RallRuss TamblynJulie NewmarRuta Lee, Norma DoggettVirginia Gibson, Betty Carr, Nancy KilgasIan WolfeMarjorie WoodRussell SimpsonHoward Petrie"
three-coins-in-the-fountain-1954,Three Coins in the Fountain,1954,27,no,102,1.7,5,USD,USD,"Clifton Webb, Dorothy McGuire, Jean Peters, Louis Jourdan, Rossano Brazzi, Maggie McNamara"
marty-1955,Marty,1955,28,yes,NA,NA,NA,USD,USD,
love-is-a-manysplendored-thing-1955,Love Is a Many-Splendored Thing,1955,28,no,102,1.78,3,USD,USD,
mister-roberts-1955,Mister Roberts,1955,28,no,123,NA,21.2,USD,USD,
picnic-1955,Picnic,1955,28,no,115,NA,NA,USD,USD,
the-rose-tattoo-1955,The Rose Tattoo,1955,28,no,117,NA,4.2,USD,USD,"Anna Magnani, Burt Lancaster"
around-the-world-in-80-days-1956,Around the World in 80 Days,1956,29,yes,182,6,42,USD,USD,"Cantinflas, David Niven, Robert Newton, Shirley MacLaine"
friendly-persuasion-1956,Friendly Persuasion,1956,29,no,137,3,8,USD,USD,
giant-1956,Giant,1956,29,no,NA,NA,NA,USD,USD,
the-king-and-i-1956,The King and I,1956,29,no,133,4.55,21.3,USD,USD,"Deborah KerrYul BrynnerRita MorenoMaureen HingertMartin Benson, Rex Thompson"
the-ten-commandments-1956,The Ten Commandments,1956,29,no,220,13,122.7,USD,USD,
the-bridge-on-the-river-kwai-1957,The Bridge on the River Kwai,1957,30,yes,161,2.8,30.6,USD,USD,"William Holden, Jack Hawkins, Alec Guinness"
12-angry-men-1957,12 Angry Men,1957,30,no,NA,0.34,NA,USD,USD,"Henry Fonda, Lee J. Cobb, Ed Begley, E. G. Marshall, Jack Warden"
peyton-place-1957,Peyton Place,1957,30,no,162,2.2,25.6,USD,USD,
sayonara-1957,Sayonara,1957,30,no,147,NA,NA,USD,USD,"Marlon Brando, Patricia Owens, James Garner, Martha Scott, Miiko Taka, Miyoshi Umeki, Red Buttons, Ricardo Montalbán"
witness-for-the-prosecution-1957,Witness for the Prosecution,1957,30,no,116,3,9,USD,USD,
gigi-1958,Gigi,1958,31,yes,115,3.3,13.2,USD,USD,"Leslie Caron, Louis Jourdan, Maurice Chevalier, Hermione Gingold, Eva Gabor, Jacques Bergerac, Isabel Jeans"
auntie-mame-1958,Auntie Mame,1958,31,no,143,NA,9,USD,USD,"Rosalind RussellForrest TuckerCoral BrowneRoger SmithPeggy Cass, Jan HandzlikJoanna BarnesRobin HughesPippa Scott"
cat-on-a-hot-tin-roof-1958,Cat on a Hot Tin Roof,1958,31,no,107,2.345,11.285,USD,USD,
the-defiant-ones-1958,The Defiant Ones,1958,31,no,96,0.778,NA,USD,USD,
separate-tables-1958,Separate Tables,1958,31,no,100,NA,3.1,USD,USD,
benhur-1959,Ben-Hur,1959,32,yes,212,15.2,146.9,USD,USD,"Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd, Hugh Griffith, Martha Scott, Cathy O'Donnell, Sam Jaffe"
anatomy-of-a-murder-1959,Anatomy of a Murder,1959,32,no,160,NA,11,USD,USD,
the-diary-of-anne-frank-1959,The Diary of Anne Frank,1959,32,no,170,3.8,2.3,USD,USD,
the-nuns-story-1959,The Nun's Story,1959,32,no,149,3.5,12.8,USD,USD,"Audrey Hepburn, Peter Finch, Edith Evans, Peggy Ashcroft"
room-at-the-top-1959,Room at the Top,1959,32,no,115,0.28,NA,GBP,USD,
the-apartment-1960,The Apartment,1960,33,yes,125,3,24.6,USD,USD,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Jack Kruschen"
the-alamo-1960,The Alamo,1960,33,no,202,12,20,USD,USD,
elmer-gantry-1960,Elmer Gantry,1960,33,no,146,3,5.2,USD,USD,
sons-and-lovers-1960,Sons and Lovers,1960,33,no,103,0.805,NA,USD,USD,
the-sundowners-1960,The Sundowners,1960,33,no,141,NA,0,USD,USD,
west-side-story-1961,West Side Story,1961,34,yes,152,6,43.7,USD,USD,
fanny-1961,Fanny,1961,34,no,134,NA,4.5,USD,USD,
the-guns-of-navarone-1961,The Guns of Navarone,1961,34,no,158,6,28.9,USD,USD,
the-hustler-1961,The Hustler,1961,34,no,134,2.125,7.6,USD,USD,
judgment-at-nuremberg-1961,Judgment at Nuremberg,1961,34,no,179,3,10,USD,USD,
lawrence-of-arabia-1962,Lawrence of Arabia,1962,35,yes,222,15,70,USD,USD,"Alec Guinness, Anthony Quinn, Jack Hawkins, José Ferrer, Anthony Quayle, Claude Rains, Arthur Kennedy, Omar Sharif, Peter O'Toole"
the-longest-day-1962,The Longest Day,1962,35,no,178,7.75,50.1,USD,USD,"John Wayne, Henry Fonda, Robert Mitchum, Sean Connery, Eddie Albert, Curd Jürgens, Richard Todd, Richard Burton, Peter Lawford, Rod Steiger, Irina Demick, Gert Fröbe, Edmond O'Brien, Kenneth More"
the-music-man-1962,The Music Man,1962,35,no,NA,NA,NA,USD,USD,
mutiny-on-the-bounty-1962,Mutiny on the Bounty,1962,35,no,NA,NA,NA,USD,USD,
to-kill-a-mockingbird-1962,To Kill a Mockingbird,1962,35,no,129,2,13.1,USD,USD,"Gregory Peck, Mary Badham, Phillip Alford, John Megna, Ruth White, Paul Fix, Brock Peters, Frank Overton"
tom-jones-1963,Tom Jones,1963,36,yes,128,1,37.6,GBP,USD,
